Date,AdjClose
2000-01-03 00:00:00+00:00,85.9000
2000-01-04 00:00:00+00:00,85.6750
2000-01-05 00:00:00+00:00,85.7000
2000-01-06 00:00:00+00:00,86.3000
2000-01-07 00:00:00+00:00,86.7750
2000-01-10 00:00:00+00:00,86.8500
2000-01-11 00:00:00+00:00,86.5500
2000-01-12 00:00:00+00:00,86.1000
2000-01-13 00:00:00+00:00,85.7250
2000-01-14 00:00:00+00:00,86.0250
2000-01-18 00:00:00+00:00,85.8750
2000-01-19 00:00:00+00:00,85.0750
2000-01-20 00:00:00+00:00,84.7250
2000-01-21 00:00:00+00:00,84.8500
2000-01-24 00:00:00+00:00,84.7500
2000-01-25 00:00:00+00:00,85.2750
2000-01-26 00:00:00+00:00,85.7000
2000-01-27 00:00:00+00:00,84.8250
2000-01-28 00:00:00+00:00,84.8500
2000-01-31 00:00:00+00:00,85.5750
2000-02-01 00:00:00+00:00,86.0250
2000-02-02 00:00:00+00:00,85.1500
2000-02-03 00:00:00+00:00,85.5500
2000-02-04 00:00:00+00:00,85.2500
2000-02-07 00:00:00+00:00,85.1750
2000-02-08 00:00:00+00:00,84.5000
2000-02-09 00:00:00+00:00,83.9500
2000-02-10 00:00:00+00:00,83.7750
2000-02-11 00:00:00+00:00,84.0250
2000-02-14 00:00:00+00:00,83.7500
2000-02-15 00:00:00+00:00,83.5250
2000-02-16 00:00:00+00:00,83.9500
2000-02-17 00:00:00+00:00,84.2000
2000-02-18 00:00:00+00:00,83.8250
2000-02-22 00:00:00+00:00,83.1750
2000-02-23 00:00:00+00:00,83.7750
2000-02-24 00:00:00+00:00,84.2250
2000-02-25 00:00:00+00:00,84.4000
2000-02-28 00:00:00+00:00,84.8000
2000-02-29 00:00:00+00:00,84.5500
2000-03-01 00:00:00+00:00,84.9500
2000-03-02 00:00:00+00:00,85.2750
2000-03-03 00:00:00+00:00,85.4250
2000-03-06 00:00:00+00:00,85.2250
2000-03-07 00:00:00+00:00,84.9750
2000-03-08 00:00:00+00:00,84.7500
2000-03-09 00:00:00+00:00,84.7000
2000-03-10 00:00:00+00:00,84.7750
2000-03-13 00:00:00+00:00,84.2500
2000-03-14 00:00:00+00:00,83.5000
2000-03-15 00:00:00+00:00,83.6750
2000-03-16 00:00:00+00:00,83.2250
2000-03-17 00:00:00+00:00,82.9500
2000-03-20 00:00:00+00:00,83.4000
2000-03-21 00:00:00+00:00,83.5750
2000-03-22 00:00:00+00:00,84.1250
2000-03-23 00:00:00+00:00,84.2750
2000-03-24 00:00:00+00:00,84.3750
2000-03-27 00:00:00+00:00,84.5750
2000-03-28 00:00:00+00:00,84.7750
2000-03-29 00:00:00+00:00,83.8500
2000-03-30 00:00:00+00:00,83.9000
2000-03-31 00:00:00+00:00,83.9250
2000-04-03 00:00:00+00:00,83.9000
2000-04-04 00:00:00+00:00,83.1750
2000-04-05 00:00:00+00:00,83.7500
2000-04-06 00:00:00+00:00,83.8000
2000-04-07 00:00:00+00:00,84.0000
2000-04-10 00:00:00+00:00,84.5000
2000-04-11 00:00:00+00:00,84.7500
2000-04-12 00:00:00+00:00,84.5250
2000-04-13 00:00:00+00:00,84.6250
2000-04-14 00:00:00+00:00,84.6000
2000-04-17 00:00:00+00:00,84.2750
2000-04-18 00:00:00+00:00,84.4750
2000-04-19 00:00:00+00:00,84.3000
2000-04-20 00:00:00+00:00,84.0250
2000-04-24 00:00:00+00:00,83.9000
2000-04-25 00:00:00+00:00,84.0000
2000-04-26 00:00:00+00:00,84.2250
2000-04-27 00:00:00+00:00,84.3250
2000-04-28 00:00:00+00:00,84.8250
2000-05-01 00:00:00+00:00,84.3500
2000-05-02 00:00:00+00:00,84.2000
2000-05-03 00:00:00+00:00,83.5250
2000-05-04 00:00:00+00:00,84.4500
2000-05-05 00:00:00+00:00,84.7750
2000-05-08 00:00:00+00:00,85.1750
2000-05-09 00:00:00+00:00,85.3250
2000-05-10 00:00:00+00:00,83.8750
2000-05-11 00:00:00+00:00,84.0250
2000-05-12 00:00:00+00:00,83.6000
2000-05-15 00:00:00+00:00,83.9500
2000-05-16 00:00:00+00:00,83.8250
2000-05-17 00:00:00+00:00,84.1000
2000-05-18 00:00:00+00:00,83.8250
2000-05-19 00:00:00+00:00,83.8250
2000-05-22 00:00:00+00:00,83.3750
2000-05-23 00:00:00+00:00,84.3500
2000-05-24 00:00:00+00:00,84.0500
2000-05-25 00:00:00+00:00,84.5500
2000-05-26 00:00:00+00:00,84.2000
2000-05-30 00:00:00+00:00,84.3250
2000-05-31 00:00:00+00:00,84.7750
2000-06-01 00:00:00+00:00,85.1750
2000-06-02 00:00:00+00:00,84.9750
2000-06-05 00:00:00+00:00,85.7250
2000-06-06 00:00:00+00:00,85.4750
2000-06-07 00:00:00+00:00,85.6000
2000-06-08 00:00:00+00:00,85.2500
2000-06-09 00:00:00+00:00,85.2250
2000-06-12 00:00:00+00:00,86.3500
2000-06-13 00:00:00+00:00,86.3500
2000-06-14 00:00:00+00:00,86.3000
2000-06-15 00:00:00+00:00,86.0250
